epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,218.942,1.59901,1.51302,1.03922,0.59582,0.312,0.31749,0.17224,1.49405,0.99552,0.98657,0.00999086,0.00333029,0.00999086,0.00333029,0.00999086,0.00333029,0.00999086,0.00333029
2,438.708,1.53688,1.0641,1.01318,0.44028,0.31229,0.31738,0.16682,1.4986,0.97565,0.99557,0.0197929,0.00659765,0.0197929,0.00659765,0.0197929,0.00659765,0.0197929,0.00659765
3,659.153,1.55224,1.02182,1.02213,0.52982,0.29739,0.28412,0.14562,1.55486,1.05855,1.02241,0.029397,0.00979901,0.029397,0.00979901,0.029397,0.00979901,0.029397,0.00979901
4,878.403,1.53056,0.97983,1.01588,0.61743,0.34579,0.36872,0.19528,1.46192,0.89715,0.99221,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1097.5,1.49093,0.934,1.00217,0.63996,0.37132,0.40016,0.21504,1.40571,0.83741,0.97074,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1316.67,1.47015,0.9103,0.99437,0.66294,0.37988,0.41419,0.22592,1.39325,0.81811,0.9665,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1536.03,1.45398,0.89376,0.98843,0.67062,0.38671,0.42697,0.23321,1.37478,0.79957,0.95938,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1755.27,1.44836,0.88408,0.98605,0.68453,0.39706,0.43853,0.24125,1.36351,0.78578,0.95637,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1975.13,1.43696,0.87402,0.98225,0.6736,0.40444,0.44392,0.24608,1.35368,0.77401,0.95332,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2196.19,1.43475,0.86751,0.97962,0.68664,0.41001,0.45023,0.24967,1.34835,0.76703,0.95013,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2416.82,1.42916,0.8624,0.97756,0.69087,0.40657,0.45447,0.25255,1.34412,0.76042,0.94851,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2636.8,1.42524,0.85627,0.97622,0.69438,0.41377,0.45889,0.25552,1.3397,0.75494,0.94626,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2856.5,1.42305,0.85437,0.97495,0.70004,0.41421,0.46156,0.25748,1.33649,0.75164,0.94501,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3076.82,1.41871,0.85029,0.97369,0.69014,0.42192,0.46409,0.25939,1.3344,0.74838,0.94431,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
